Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,361.0799865722656,368.54998779296875,359.2099914550781,366.6099853515625,366.6099853515625,89756500
2022-10-04,372.3999938964844,378.0,366.57000732421875,377.9700012207031,377.9700012207031,103602800
2022-10-05,373.3900146484375,379.4599914550781,370.95001220703125,377.0899963378906,377.0899963378906,88065700
2022-10-06,375.6199951171875,378.7200012207031,372.67999267578125,373.20001220703125,373.20001220703125,82333500
2022-10-07,368.9700012207031,373.2900085449219,360.94000244140625,362.7900085449219,362.7900085449219,107789500
2022-10-10,363.9599914550781,364.2099914550781,357.6700134277344,360.0199890136719,360.0199890136719,76042800
2022-10-11,358.239990234375,363.0299987792969,355.7099914550781,357.739990234375,357.739990234375,92482800
2022-10-12,358.1700134277344,359.82000732421875,356.29998779296875,356.55999755859375,356.55999755859375,76991800
2022-10-13,349.2099914550781,367.510009765625,348.1099853515625,365.9700012207031,365.9700012207031,147254500
2022-10-14,368.54998779296875,370.260009765625,356.9599914550781,357.6300048828125,357.6300048828125,123737000
2022-10-17,364.010009765625,367.9800109863281,357.2799987792969,366.82000732421875,366.82000732421875,93168200
2022-10-18,375.1300048828125,375.45001220703125,367.5199890136719,371.1300048828125,371.1300048828125,97162900
2022-10-19,368.989990234375,371.8500061035156,365.54998779296875,368.5,368.5,79746900
2022-10-20,368.0299987792969,372.6700134277344,364.6099853515625,365.4100036621094,365.4100036621094,88283100
2022-10-21,365.1199951171875,374.79998779296875,363.5400085449219,374.2900085449219,374.2900085449219,131038400
2022-10-24,375.8900146484375,380.05999755859375,373.1099853515625,378.8699951171875,378.8699951171875,85436900
2022-10-25,378.7900085449219,385.25,378.6700134277344,384.9200134277344,384.9200134277344,78846300
2022-10-26,381.6199951171875,387.5799865722656,381.3500061035156,382.0199890136719,382.0199890136719,104087300
2022-10-27,383.07000732421875,385.0,379.3299865722656,379.9800109863281,379.9800109863281,81971800
2022-10-28,379.8699951171875,389.5199890136719,379.67999267578125,389.0199890136719,389.0199890136719,100302000
2022-10-31,386.44000244140625,388.3999938964844,385.260009765625,386.2099914550781,386.2099914550781,96631300
